City Name,Longitude,Latitude,User Interaction Count,Comment Count
北京,116.4133837,39.91092455,11830670,12559
天津,117.2095232,39.09366784,10276053,8544
上海,121.4805389,31.23592904,6622895,9541
重庆,106.5584342,29.56899625,13996578,19478
乌鲁木齐,87.62443994,43.8307632,528826,3991
克拉玛依,84.89590054,45.58567524,0,0
拉萨,91.12082392,29.65004027,1822732,6181
银川,106.2384936,38.49246006,614007,6203
石嘴山,106.3906004,38.98968284,56735,290
吴忠,106.2053713,38.00371291,538219,1027
固原,106.2485774,36.02161726,14041,97
中卫,105.2035709,37.50570142,458625,3080
呼和浩特,111.7555086,40.848423,267807,1704
包头,109.8465435,40.66292879,858116,10337
乌海,106.800391,39.66200636,14287,101
赤峰,118.8955204,42.2616861,227557,2231
通辽,122.2505218,43.65798008,160864,1637
鄂尔多斯,109.7874432,39.61448231,323972,1940
呼伦贝尔,119.7723705,49.21844648,6848918,1967
巴彦淖尔,107.3943981,40.74935949,50133,874
乌兰察布,113.1394677,41.00074833,246831,1199
南宁,108.3734508,22.8226066,2543801,8083
柳州,109.4344219,24.33196139,2765239,7834
桂林,110.2035454,25.24288572,1594407,8533
梧州,111.2855168,23.48274528,231868,3876
北海,109.1265332,21.4868365,2394168,9455
崇左,107.3715202,22.38311723,123824,1004
来宾,109.2274582,23.75654676,2274500,12919
贺州,111.5735263,24.4094509,378602,1942
玉林,110.1884531,22.65983051,1858907,11814
百色,106.6245893,23.90818593,684907,763
河池,108.0914999,24.69891173,2342572,12381
钦州,108.6605802,21.98659354,54302,691
防城港,108.3604188,21.69300529,46102,189
贵港,109.6055203,23.11744838,524566,1418
哈尔滨,126.5416151,45.80882583,2315413,9864
大庆,125.1086576,46.59363318,2042344,8486
齐齐哈尔,123.9245709,47.35997719,30405,140
佳木斯,130.3273591,46.80568999,359404,443
鸡西,130.9756187,45.30087232,17227,93
鹤岗,130.3044329,47.35605616,605003,2711
双鸭山,131.1653417,46.6531859,335307,545
牡丹江,129.6395398,44.55624571,2930356,22242
伊春,128.8475464,47.73331846,174944,441
七台河,131.0115446,45.77630032,7735,34
黑河,127.5354899,50.25127231,1066154,3986
绥化,126.9753569,46.66003218,46939,576
长春,125.3306021,43.8219535,2354555,5003
吉林,126.5556345,43.84356783,1071765,2655
四平,124.3564816,43.17199357,3009594,4799
辽源,125.1504252,42.89405501,13661,167
通化,125.9466063,41.7338158,41844,332
白山,126.4296301,41.93962721,547680,3694
松原,124.8314819,45.14740419,758509,1622
白城,122.8455906,45.62550436,491012,5099
沈阳,123.4710966,41.68383007,3916832,6991
大连,121.6216315,38.91895367,3375923,10147
鞍山,123.0013725,41.1150536,741082,3742
抚顺,123.9643746,41.88596959,358295,1379
本溪,123.6925071,41.49291646,449311,3548
丹东,124.3615473,40.00640871,2336687,8895
锦州,121.1325963,41.1009315,1051722,2316
营口,122.2415747,40.67313684,890263,5514
阜新,121.676408,42.0280219,29142,368
辽阳,123.2433664,41.27416129,16487,502
盘锦,122.0774901,41.12587529,222054,1637
铁岭,123.7323652,42.229948,700395,2433
朝阳,120.4574995,41.57982086,8146339,8527
葫芦岛,120.8433983,40.71736444,654126,2188
石家庄,114.5215319,38.04831193,2050862,4096
唐山,118.1864595,39.63658372,1085508,3835
邯郸,114.5456282,36.63126273,138743,799
