City Name,User Interaction Count,Comment Count,Longitude,Latitude
合肥,9491829,62828,117.2334427,31.82657783
芜湖,21130590,106288,118.4394314,31.35853666
蚌埠,1340825,8004,117.3955133,32.9215237
淮南,18333771,38561,117.0063889,32.6318474
马鞍山,1061454,4983,118.5135796,31.6762656
淮北,422170,4039,116.8045373,33.9616563
铜陵,802015,6231,117.8184768,30.95123324
安庆,2194950,12574,117.0636039,30.53095657
黄山,6723854,37901,118.3454373,29.72188979
阜阳,2759766,9287,115.8204361,32.89606099
宿州,557186,2439,116.9705439,33.65209533
滁州,496910,4479,118.3394061,32.26127087
六安,658443,3543,116.5264097,31.74145082
宣城,468866,3512,118.7655342,30.94660155
池州,4932304,10301,117.498421,30.67088379
亳州,1139056,5066,115.7844632,33.8506427
潜山,51727,342,116.587611,30.63675568
